achievement_criterion_id,achievement_criterion_type,achievement_criterion_value,achievement_criterion_count,next_id
O0053,unconditional_completed,line://msg/text/%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC%E2%98%86%E5%85%A8%E3%83%A6%E3%83%BC%E3%82%B6%E3%83%BC%E5%BE%85%E6%9C%9B%E3%81%AE%E3%80%8A%E9%A1%94%E5%90%88%E3%82%8F%E3%81%9B%E3%83%9C%E3%83%BC%E3%83%8A%E3%82%B9%E3%80%8B%E3%82%92%E3%83%AA%E3%82%BB%E3%83%83%E3%83%88%EF%BC%81%E3%83%9D%E3%83%AA%E3%82%B4%E3%83%B3%E3%80%90%E6%9C%80%E5%A4%A7140%E5%80%8B%EF%BC%88%E3%83%AC%E3%82%A2%E3%82%AC%E3%83%81%E3%83%A328%E5%9B%9E%E5%88%86%EF%BC%89%E3%80%91%E3%82%92%E3%83%97%E3%83%AC%E3%82%BC%E3%83%B3%E3%83%88%EF%BC%81%E4%BB%8A%E3%81%99%E3%81%90%E5%8F%8B%E3%81%A0%E3%81%A1%E3%81%A8%E3%83%9E%E3%83%AB%E3%83%81%E3%83%97%E3%83%AC%E3%82%A4%E3%82%92%E3%81%97%E3%81%A6%E5%A4%A7%E9%87%8F%E3%81%AE%E3%83%9D%E3%83%AA%E3%82%B4%E3%83%B3%E3%82%92%E3%82%B2%E3%83%83%E3%83%88%E3%81%97%E3%82%88%E3%81%86%E2%86%92%20http%3A%2F%2Fcrashfever.com%2Fletsplay%2F%20,1,NULL
O0054,unconditional_completed,twitter://post?message=%E3%83%8F%E3%83%AD%E3%82%A6%E3%82%A3%E3%83%B3%E3%81%8C%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC%E3%81%AB%E3%82%84%E3%81%A3%E3%81%A6%E3%81%8D%E3%81%9F%EF%BC%81%E3%81%8A%E8%8F%93%E5%AD%90%E3%83%81%E3%82%B1%E3%83%83%E3%83%88%E3%82%92%E9%9B%86%E3%82%81%E3%81%A6%E3%80%90%E7%84%A1%E6%96%99%E3%81%A710%E9%80%A3%E3%82%AC%E3%83%81%E3%83%A3%E3%80%91%E3%82%92%E5%9B%9E%E3%81%9D%E3%81%86%EF%BC%81%E3%83%8F%E3%83%AD%E3%82%A6%E3%82%A3%E3%83%B3%E9%99%90%E5%AE%9A%E3%82%B3%E3%82%B9%E3%83%97%E3%83%AC%E3%83%BB%E3%82%B9%E3%83%9A%E3%82%B7%E3%83%A3%E3%83%AB%E3%83%A6%E3%83%8B%E3%83%83%E3%83%88%E3%82%82%E7%99%BB%E5%A0%B4%E4%B8%AD%E2%98%86%E3%81%8A%E8%8F%93%E5%AD%90%E3%83%81%E3%82%B1%E3%83%83%E3%83%88%E3%81%AE%E5%8F%97%E3%81%91%E5%8F%96%E3%82%8A%E3%81%AF%E3%81%93%E3%81%A1%E3%82%89%E2%86%92%20http%3A%2F%2Fcrashfever.com%2Fletsplay%2F%20%23%E3%82%AF%E3%83%A9%E3%83%95%E3%82%A3,1,NULL
O0055,unconditional_completed,line://msg/text/%E3%83%8F%E3%83%AD%E3%82%A6%E3%82%A3%E3%83%B3%E3%81%8C%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC%E3%81%AB%E3%82%84%E3%81%A3%E3%81%A6%E3%81%8D%E3%81%9F%EF%BC%81%E3%81%8A%E8%8F%93%E5%AD%90%E3%83%81%E3%82%B1%E3%83%83%E3%83%88%E3%82%92%E9%9B%86%E3%82%81%E3%81%A6%E3%80%90%E7%84%A1%E6%96%99%E3%81%A710%E9%80%A3%E3%82%AC%E3%83%81%E3%83%A3%E3%80%91%E3%82%92%E5%9B%9E%E3%81%9D%E3%81%86%EF%BC%81%E3%83%8F%E3%83%AD%E3%82%A6%E3%82%A3%E3%83%B3%E9%99%90%E5%AE%9A%E3%82%B3%E3%82%B9%E3%83%97%E3%83%AC%E3%83%BB%E3%82%B9%E3%83%9A%E3%82%B7%E3%83%A3%E3%83%AB%E3%83%A6%E3%83%8B%E3%83%83%E3%83%88%E3%82%82%E7%99%BB%E5%A0%B4%E4%B8%AD%E2%98%86%E3%81%8A%E8%8F%93%E5%AD%90%E3%83%81%E3%82%B1%E3%83%83%E3%83%88%E3%81%AE%E5%8F%97%E3%81%91%E5%8F%96%E3%82%8A%E3%81%AF%E3%81%93%E3%81%A1%E3%82%89%E2%86%92%20http%3A%2F%2Fcrashfever.com%2Fletsplay%2F,1,NULL
O0058,unconditional_completed,twitter://post?message=%E3%83%8F%E3%83%AD%E3%82%A6%E3%82%A3%E3%83%B3%E3%81%8C%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC%E3%81%AB%E3%82%84%E3%81%A3%E3%81%A6%E3%81%8D%E3%81%9F%EF%BC%81%E4%BB%8A%E3%81%A0%E3%81%91%E2%98%86%E3%83%8F%E3%83%AD%E3%82%A6%E3%82%A3%E3%83%B3%E9%99%90%E5%AE%9A%E3%83%A6%E3%83%8B%E3%83%83%E3%83%88%E3%82%84%E3%82%B3%E3%82%B9%E3%83%97%E3%83%AC%E3%83%A6%E3%83%8B%E3%83%83%E3%83%88%E3%81%8C%E5%87%BA%E7%8F%BE%E3%81%99%E3%82%8B%E3%80%8A%E3%82%B9%E3%83%9A%E3%82%B7%E3%83%A3%E3%83%AB%E3%83%8F%E3%83%AD%E3%82%A6%E3%82%A3%E3%83%B3%E3%82%AC%E3%83%81%E3%83%A3%E3%80%8B%E3%81%8C%E6%AF%8E%E6%97%A5%EF%BC%91%E5%9B%9E%E7%84%A1%E6%96%99%EF%BC%81%E4%BB%8A%E3%81%99%E3%81%90%E5%9B%9E%E3%81%97%E3%81%A6%E3%81%BF%E3%82%88%E3%81%86%E2%86%92%20http%3A%2F%2Fcrashfever.com%2Fletsplay%2F%20%23%E3%82%AF%E3%83%A9%E3%83%95%E3%82%A3,1,NULL
O0059,unconditional_completed,line://msg/text/%E3%83%8F%E3%83%AD%E3%82%A6%E3%82%A3%E3%83%B3%E3%81%8C%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC%E3%81%AB%E3%82%84%E3%81%A3%E3%81%A6%E3%81%8D%E3%81%9F%EF%BC%81%E4%BB%8A%E3%81%A0%E3%81%91%E2%98%86%E3%83%8F%E3%83%AD%E3%82%A6%E3%82%A3%E3%83%B3%E9%99%90%E5%AE%9A%E3%83%A6%E3%83%8B%E3%83%83%E3%83%88%E3%82%84%E3%82%B3%E3%82%B9%E3%83%97%E3%83%AC%E3%83%A6%E3%83%8B%E3%83%83%E3%83%88%E3%81%8C%E5%87%BA%E7%8F%BE%E3%81%99%E3%82%8B%E3%80%8A%E3%82%B9%E3%83%9A%E3%82%B7%E3%83%A3%E3%83%AB%E3%83%8F%E3%83%AD%E3%82%A6%E3%82%A3%E3%83%B3%E3%82%AC%E3%83%81%E3%83%A3%E3%80%8B%E3%81%8C%E6%AF%8E%E6%97%A5%EF%BC%91%E5%9B%9E%E7%84%A1%E6%96%99%EF%BC%81%E4%BB%8A%E3%81%99%E3%81%90%E5%9B%9E%E3%81%97%E3%81%A6%E3%81%BF%E3%82%88%E3%81%86%E2%86%92%20http%3A%2F%2Fcrashfever.com%2Fletsplay,1,NULL
O0060,unconditional_completed,twitter://post?message=%E3%80%90%E5%85%A8%E4%B8%96%E7%95%8C700%E4%B8%87%E3%83%80%E3%82%A6%E3%83%B3%E3%83%AD%E3%83%BC%E3%83%89%E7%AA%81%E7%A0%B4%EF%BC%81%E3%80%91%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC%E2%98%85%E8%A8%98%E5%BF%B5%E3%82%AD%E3%83%A3%E3%83%B3%E3%83%9A%E3%83%BC%E3%83%B3%E5%AE%9F%E6%96%BD%E4%B8%AD%EF%BC%81%E3%83%95%E3%82%A7%E3%82%B9%E9%99%90%E7%A2%BA%E5%AE%9A%E3%82%AC%E3%83%81%E3%83%A3%E3%81%A4%E3%81%84%E3%81%AB%EF%BC%81%EF%BD%B7%EF%BE%80%E2%94%81%28%EF%BE%9F%E2%88%80%EF%BE%9F%29%E2%94%81%21%20%E4%BB%8A%E3%81%A0%E3%81%91%E6%AF%8E%E6%97%A51%E5%9B%9E%E3%83%AC%E3%82%A2%E3%82%AC%E3%83%81%E3%83%A3%E7%84%A1%E6%96%99%EF%BC%81%E8%82%B2%E6%88%90%E7%B4%A0%E6%9D%90%E3%82%82%E5%A4%A7%E9%96%8B%E6%94%BE%E4%B8%AD%EF%BC%81http%3A%2F%2Fcrashfever.com%2Fletsplay%20%23%E3%82%AF%E3%83%A9%E3%83%95%E3%82%A3,1,NULL
O0061,unconditional_completed,line://msg/text/%E3%80%90%E5%85%A8%E4%B8%96%E7%95%8C700%E4%B8%87%E3%83%80%E3%82%A6%E3%83%B3%E3%83%AD%E3%83%BC%E3%83%89%E7%AA%81%E7%A0%B4%EF%BC%81%E3%80%91%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC%E2%98%85%E8%A8%98%E5%BF%B5%E3%82%AD%E3%83%A3%E3%83%B3%E3%83%9A%E3%83%BC%E3%83%B3%E5%AE%9F%E6%96%BD%E4%B8%AD%EF%BC%81%E3%83%95%E3%82%A7%E3%82%B9%E9%99%90%E7%A2%BA%E5%AE%9A%E3%82%AC%E3%83%81%E3%83%A3%E3%81%A4%E3%81%84%E3%81%AB%EF%BC%81%EF%BD%B7%EF%BE%80%E2%94%81%28%EF%BE%9F%E2%88%80%EF%BE%9F%29%E2%94%81%21%20%E4%BB%8A%E3%81%A0%E3%81%91%E6%AF%8E%E6%97%A51%E5%9B%9E%E3%83%AC%E3%82%A2%E3%82%AC%E3%83%81%E3%83%A3%E7%84%A1%E6%96%99%EF%BC%81%E8%82%B2%E6%88%90%E7%B4%A0%E6%9D%90%E3%82%82%E5%A4%A7%E9%96%8B%E6%94%BE%E4%B8%AD%EF%BC%81http%3A%2F%2Fcrashfever.com%2Fletsplay,1,NULL
O0062,unconditional_completed,https://twitter.com/CrashFever_PR/status/807058714704236544,1,NULL
O0063,unconditional_completed,twitter://post?message=%E3%83%9B%E3%83%AF%E3%82%A4%E3%83%88%E3%83%87%E3%83%BC%E3%82%AD%E3%83%A3%E3%83%B3%E3%83%9A%E3%83%BC%E3%83%B3%E5%AE%9F%E6%96%BD%E4%B8%AD%E2%99%AA%E4%BB%8A%E3%81%AA%E3%82%89%E3%80%901%E6%97%A51%E5%9B%9E%E7%84%A1%E6%96%99%E3%82%AC%E3%83%81%E3%83%A3%E3%80%91%E3%81%8C%E5%9B%9E%E3%81%9B%E3%81%A1%E3%82%83%E3%81%86%E2%98%86%E3%83%9B%E3%83%AF%E3%82%A4%E3%83%88%E3%83%87%E3%83%BC%E9%99%90%E5%AE%9A%E3%83%A6%E3%83%8B%E3%83%83%E3%83%88%E3%81%8C%E6%89%8B%E3%81%AB%E5%85%A5%E3%82%8B%E3%83%81%E3%83%A3%E3%83%B3%E3%82%B9%EF%BC%81%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC%E3%81%AE%E3%82%A4%E3%83%B3%E3%82%B9%E3%83%88%E3%83%BC%E3%83%AB%E3%81%AF%E3%81%93%E3%81%A1%E3%82%89%E2%99%AA%E2%86%92%20http%3A%2F%2Fcrashfever.com%2Fletsplay%2F%20%23%E3%82%AF%E3%83%A9%E3%83%95%E3%82%A3,1,NULL
O0064,unconditional_completed,line://msg/text/%E3%83%9B%E3%83%AF%E3%82%A4%E3%83%88%E3%83%87%E3%83%BC%E3%82%AD%E3%83%A3%E3%83%B3%E3%83%9A%E3%83%BC%E3%83%B3%E5%AE%9F%E6%96%BD%E4%B8%AD%E2%99%AA%E4%BB%8A%E3%81%AA%E3%82%89%E3%80%901%E6%97%A51%E5%9B%9E%E7%84%A1%E6%96%99%E3%82%AC%E3%83%81%E3%83%A3%E3%80%91%E3%81%8C%E5%9B%9E%E3%81%9B%E3%81%A1%E3%82%83%E3%81%86%E2%98%86%E3%83%9B%E3%83%AF%E3%82%A4%E3%83%88%E3%83%87%E3%83%BC%E9%99%90%E5%AE%9A%E3%83%A6%E3%83%8B%E3%83%83%E3%83%88%E3%81%8C%E6%89%8B%E3%81%AB%E5%85%A5%E3%82%8B%E3%83%81%E3%83%A3%E3%83%B3%E3%82%B9%EF%BC%81%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC%E3%81%AE%E3%82%A4%E3%83%B3%E3%82%B9%E3%83%88%E3%83%BC%E3%83%AB%E3%81%AF%E3%81%93%E3%81%A1%E3%82%89%E2%99%AA%E2%86%92%20http%3A%2F%2Fcrashfever.com%2Fletsplay,1,NULL
O0065,unconditional_completed,ponos-battlecats4://ponos/crashfever1-jp,2,NULL
O0066,unconditional_completed,ponos-battlecats4://ponos/crashfever2-jp,2,NULL
O0067,unconditional_completed,ponos-battlecats4://ponos/crashfever3-jp,2,NULL
O0068,unconditional_completed,twitter://post?message=%E3%80%90%E3%81%AB%E3%82%83%E3%82%93%E3%81%93%E5%A4%A7%E6%88%A6%E4%BA%89%C3%97%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC%E3%80%91%E3%81%AB%E3%82%83%E3%82%93%E3%81%93%E9%81%94%E3%81%8C%E3%82%AF%E3%83%A9%E3%83%95%E3%82%A3%E3%81%AE%E4%B8%96%E7%95%8C%E3%81%AB%E9%80%B2%E8%BB%8D%EF%BC%81%EF%BC%9F%E4%BB%8A%E3%81%AA%E3%82%89%E3%81%82%E3%81%AE%E3%80%8C%E3%81%AB%E3%82%83%E3%82%93%E3%81%93%E3%80%8D%E9%81%94%E3%81%8C%E3%82%AF%E3%82%A8%E3%82%B9%E3%83%88%E3%81%A7%E6%89%8B%E3%81%AB%E5%85%A5%E3%82%8B%E2%99%AA%E3%80%90%E9%80%B2%E8%BB%8D%E3%81%AB%E3%82%83%EF%BC%81%E3%80%91%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC%E3%81%AE%E3%82%A4%E3%83%B3%E3%82%B9%E3%83%88%E3%83%BC%E3%83%AB%E3%81%AF%E3%81%93%E3%81%A1%E3%82%89%E2%99%AA%E2%86%92%20http%3A%2F%2Fcrashfever.com%2Fletsplay%2F%20%23%E3%82%AF%E3%83%A9%E3%83%95%E3%82%A3,1,NULL
O0069,unconditional_completed,line://msg/text/%E3%80%90%E3%81%AB%E3%82%83%E3%82%93%E3%81%93%E5%A4%A7%E6%88%A6%E4%BA%89%C3%97%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC%E3%80%91%E3%81%AB%E3%82%83%E3%82%93%E3%81%93%E9%81%94%E3%81%8C%E3%82%AF%E3%83%A9%E3%83%95%E3%82%A3%E3%81%AE%E4%B8%96%E7%95%8C%E3%81%AB%E9%80%B2%E8%BB%8D%EF%BC%81%EF%BC%9F%E4%BB%8A%E3%81%AA%E3%82%89%E3%81%82%E3%81%AE%E3%80%8C%E3%81%AB%E3%82%83%E3%82%93%E3%81%93%E3%80%8D%E9%81%94%E3%81%8C%E3%82%AF%E3%82%A8%E3%82%B9%E3%83%88%E3%81%A7%E6%89%8B%E3%81%AB%E5%85%A5%E3%82%8B%E2%99%AA%E3%80%90%E9%80%B2%E8%BB%8D%E3%81%AB%E3%82%83%EF%BC%81%E3%80%91%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC%E3%81%AE%E3%82%A4%E3%83%B3%E3%82%B9%E3%83%88%E3%83%BC%E3%83%AB%E3%81%AF%E3%81%93%E3%81%A1%E3%82%89%E2%99%AA%E2%86%92%20http%3A%2F%2Fcrashfever.com%2Fletsplay%2F,1,NULL
O0070,unconditional_completed,twitter://post?message=%E3%81%8A%E8%8A%B1%E8%A6%8B%E3%82%AD%E3%83%A3%E3%83%B3%E3%83%9A%E3%83%BC%E3%83%B3%E5%AE%9F%E6%96%BD%E4%B8%AD%E2%99%AA%E3%80%90%E3%81%BF%E3%82%93%E3%81%AA%E3%81%A7%E5%8D%94%E5%8A%9B%EF%BC%81%E3%80%91%E3%82%B5%E3%82%AF%E3%83%A9%E3%82%92%E6%BA%80%E9%96%8B%E3%81%AB%E3%81%97%E3%81%A6%E8%B1%AA%E8%8F%AF%E5%A0%B1%E9%85%AC%E3%82%92%E3%82%B2%E3%83%83%E3%83%88%E3%81%97%E3%82%88%E3%81%86%EF%BC%81%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC%E3%81%AE%E3%82%A4%E3%83%B3%E3%82%B9%E3%83%88%E3%83%BC%E3%83%AB%E3%81%AF%E3%81%93%E3%81%A1%E3%82%89%E2%99%AA%E2%86%92%20http%3A%2F%2Fcrashfever.com%2Fletsplay%2F%20%23%E3%82%AF%E3%83%A9%E3%83%95%E3%82%A3,1,NULL
O0071,unconditional_completed,line://msg/text/%E3%81%8A%E8%8A%B1%E8%A6%8B%E3%82%AD%E3%83%A3%E3%83%B3%E3%83%9A%E3%83%BC%E3%83%B3%E5%AE%9F%E6%96%BD%E4%B8%AD%E2%99%AA%E3%80%90%E3%81%BF%E3%82%93%E3%81%AA%E3%81%A7%E5%8D%94%E5%8A%9B%EF%BC%81%E3%80%91%E3%82%B5%E3%82%AF%E3%83%A9%E3%82%92%E6%BA%80%E9%96%8B%E3%81%AB%E3%81%97%E3%81%A6%E8%B1%AA%E8%8F%AF%E5%A0%B1%E9%85%AC%E3%82%92%E3%82%B2%E3%83%83%E3%83%88%E3%81%97%E3%82%88%E3%81%86%EF%BC%81%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC%E3%81%AE%E3%82%A4%E3%83%B3%E3%82%B9%E3%83%88%E3%83%BC%E3%83%AB%E3%81%AF%E3%81%93%E3%81%A1%E3%82%89%E2%99%AA%E2%86%92%20http%3A%2F%2Fcrashfever.com%2Fletsplay%2F,1,NULL
O0072,unconditional_completed,twitter://post?message=%E3%80%90%E5%85%A8%E4%B8%96%E7%95%8C1000%E5%84%84%E3%83%91%E3%83%8D%E3%83%AB%E3%83%96%E3%83%83%E5%A3%8A%E3%81%97%E8%A8%98%E5%BF%B5%EF%BC%81%E3%80%91%E4%BB%8A%E3%81%AA%E3%82%89%E3%80%8E%E3%83%AD%E3%82%B0%E3%82%A4%E3%83%B3%E3%81%99%E3%82%8B%E3%81%A0%E3%81%91%E3%80%8F%E3%81%A7%E3%80%9010%E9%80%A3%E3%82%AC%E3%83%81%E3%83%A3%E3%80%91%E3%81%8C1%E5%9B%9E%E7%84%A1%E6%96%99%EF%BC%81%EF%BC%81%E3%80%8E1000%E5%84%84BK%E3%82%AD%E3%83%A3%E3%83%B3%E3%83%9A%E3%83%BC%E3%83%B3%E3%80%8F%E9%96%8B%E5%82%AC%E4%B8%AD%EF%BC%81%E3%81%95%E3%82%89%E3%81%AB%E9%99%90%E5%AE%9A%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%82%E7%99%BB%E5%A0%B4%EF%BC%81%E3%82%A4%E3%83%B3%E3%82%B9%E3%83%88%E3%83%BC%E3%83%AB%E3%81%AF%E3%81%93%E3%81%A1%E3%82%89%E2%99%AA%E2%86%92http%3A%2F%2Fcrashfever.com%2Fletsplay%2F%20%23%E3%82%AF%E3%83%A9%E3%83%95%E3%82%A3,1,NULL
O0073,unconditional_completed,line://msg/text/%E3%80%90%E5%85%A8%E4%B8%96%E7%95%8C1000%E5%84%84%E3%83%91%E3%83%8D%E3%83%AB%E3%83%96%E3%83%83%E5%A3%8A%E3%81%97%E8%A8%98%E5%BF%B5%EF%BC%81%E3%80%91%E4%BB%8A%E3%81%AA%E3%82%89%E3%80%8E%E3%83%AD%E3%82%B0%E3%82%A4%E3%83%B3%E3%81%99%E3%82%8B%E3%81%A0%E3%81%91%E3%80%8F%E3%81%A7%E3%80%9010%E9%80%A3%E3%83%AC%E3%82%A2%E3%82%AC%E3%83%81%E3%83%A3%E3%80%91%E3%81%8C1%E5%9B%9E%E7%84%A1%E6%96%99%EF%BC%81%EF%BC%81%E3%80%8E1000%E5%84%84BK%E3%82%AD%E3%83%A3%E3%83%B3%E3%83%9A%E3%83%BC%E3%83%B3%E3%80%8F%E9%96%8B%E5%82%AC%E4%B8%AD%EF%BC%81%E3%81%95%E3%82%89%E3%81%AB%E3%82%AB%E3%83%AF%E3%82%A4%E3%82%A4%E9%99%90%E5%AE%9A%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%82%E7%99%BB%E5%A0%B4%EF%BC%81%E3%82%82%E3%81%A1%E3%82%8D%E3%82%93%E7%84%A1%E6%96%99%E3%80%9010%E9%80%A3%E3%83%AC%E3%82%A2%E3%82%AC%E3%83%81%E3%83%A3%E3%80%91%E3%81%A7%E3%82%82%E9%81%8B%E3%81%8C%E8%89%AF%E3%81%91%E3%82%8C%E3%81%B0%E3%82%B2%E3%83%83%E3%83%88%E3%81%A7%E3%81%8D%E3%81%A1%E3%82%83%E3%81%86%EF%BC%81%E3%82%A4%E3%83%B3%E3%82%B9%E3%83%88%E3%83%BC%E3%83%AB%E3%81%AF%E3%81%93%E3%81%A1%E3%82%89%E2%99%AA%E2%86%92%20http%3A%2F%2Fcrashfever.com%2Fletsplay%2F,1,NULL
O0074,unconditional_completed,twitter://post?message=%E3%80%90%E9%8B%BC%E3%81%AE%E9%8C%AC%E9%87%91%E8%A1%93%E5%B8%AB%C3%97%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC%E3%80%91%E3%82%A8%E3%83%AB%E3%83%AA%E3%83%83%E3%82%AF%E5%85%84%E5%BC%9F%E3%82%84%E3%83%9E%E3%82%B9%E3%82%BF%E3%83%B3%E3%82%B0%E5%A4%A7%E4%BD%90%E3%81%8C%E3%82%AF%E3%83%A9%E3%83%95%E3%82%A3%E3%81%AB%E7%99%BB%E5%A0%B4%EF%BC%81%E3%81%95%E3%82%89%E3%81%AB%E9%99%90%E5%AE%9A%E3%82%B3%E3%83%A9%E3%83%9C%E3%82%AF%E3%82%A8%E3%82%B9%E3%83%88%E3%82%92%E9%96%8B%E5%82%AC%E4%B8%AD%EF%BC%81%EF%BC%81%E4%BB%8A%E3%81%99%E3%81%90%E3%83%97%E3%83%AC%E3%82%A4%E2%99%AA%E2%86%92%20http%3A%2F%2Fcrashfever.com%2Fletsplay%2F%20%23%E3%82%AF%E3%83%A9%E3%83%95%E3%82%A3,1,NULL
O0075,unconditional_completed,line://msg/text/%E3%80%90%E9%8B%BC%E3%81%AE%E9%8C%AC%E9%87%91%E8%A1%93%E5%B8%AB%C3%97%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC%E3%80%91%E3%82%A8%E3%83%AB%E3%83%AA%E3%83%83%E3%82%AF%E5%85%84%E5%BC%9F%E3%82%84%E3%83%9E%E3%82%B9%E3%82%BF%E3%83%B3%E3%82%B0%E5%A4%A7%E4%BD%90%E3%81%8C%E3%82%AF%E3%83%A9%E3%83%95%E3%82%A3%E3%81%AB%E7%99%BB%E5%A0%B4%EF%BC%81%E3%81%95%E3%82%89%E3%81%AB%E9%99%90%E5%AE%9A%E3%82%B3%E3%83%A9%E3%83%9C%E3%82%AF%E3%82%A8%E3%82%B9%E3%83%88%E3%82%92%E9%96%8B%E5%82%AC%E4%B8%AD%EF%BC%81%EF%BC%81%E4%BB%8A%E3%81%99%E3%81%90%E3%83%97%E3%83%AC%E3%82%A4%E2%99%AA%E2%86%92%20http%3A%2F%2Fcrashfever.com%2Fletsplay%2F,1,NULL
O0076,unconditional_completed,http://wonderpla.net/info/20160516/,1,NULL
O0077,unconditional_completed,http://wonderpla.net/info/20170531/,1,NULL
O0078,unconditional_completed,twitter://post?message=%E3%80%90%E5%85%A8%E4%B8%96%E7%95%8C800%E4%B8%87%E3%83%80%E3%82%A6%E3%83%B3%E3%83%AD%E3%83%BC%E3%83%89%E7%AA%81%E7%A0%B4%EF%BC%81%E3%80%91%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC%E2%98%85%E8%A8%98%E5%BF%B5%E3%82%AD%E3%83%A3%E3%83%B3%E3%83%9A%E3%83%BC%E3%83%B3%E5%AE%9F%E6%96%BD%E4%B8%AD%EF%BC%81%E6%96%B0%E6%A9%9F%E8%83%BD%E3%80%8C%E3%83%9E%E3%83%AB%E3%83%81%E3%83%AB%E3%83%BC%E3%83%A0%E3%80%8D%E3%82%84%E3%81%9D%E3%81%AE%E4%BB%96%E3%82%AD%E3%83%A3%E3%83%B3%E3%83%9A%E3%83%BC%E3%83%B3%E7%9B%9B%E3%82%8A%E3%81%A0%E3%81%8F%E3%81%95%E3%82%93%EF%BC%81%EF%BC%81%E6%9C%9F%E9%96%93%E4%B8%AD%E3%80%81%E8%A8%98%E5%BF%B5%E3%83%AD%E3%82%B0%E3%83%9C%E3%81%A7%E3%82%A2%E3%82%A4%E3%83%86%E3%83%A0%E3%81%96%E3%81%8F%E3%81%96%E3%81%8F%E3%82%82%E3%82%89%E3%81%88%E3%82%8B%EF%BC%81%EF%BC%81%E4%BB%8A%E3%81%99%E3%81%90%E3%83%97%E3%83%AC%E3%82%A4%E2%99%AA%E2%86%92%20http%3A%2F%2Fcrashfever.com%2Fletsplay%2F%20%23%E3%82%AF%E3%83%A9%E3%83%95%E3%82%A3,1,NULL
